publishedAt,source,title,description,url,vader_compound
2025-08-14T05:30:00Z,GlobeNewswire,DEMIRE raises guidance for 2025,DEMIRE H1 2025: Guidance increases for 2025 - rental income lower after asset disposals - FFO I at EUR 5.0 million......,https://www.globenewswire.com/news-release/2025/08/14/3133163/0/en/DEMIRE-raises-guidance-for-2025.html,0.0772
2025-08-14T05:28:47Z,Venturesquare.net,"두왓, ‘Techsauce Innovation Awards 2025’ 수상","두왓(DOWHAT)이 지난 태국 방콕 퀸 시리킷 국립컨벤션센터(QSNCC)에서 개최된 ‘2025 방콕 관광기업지원센터(KTSC: Korea Tourism Startup Center) 데모데이’에서 ‘Techsauce Innovation Awards 2025’를 수상했다...
The post 두왓, ‘Techsauce Innovation Awards 2025’ 수상 appeared first on 벤처스퀘어.",https://www.venturesquare.net/999891,0.9413
2025-08-14T05:27:13Z,ETF Daily News,Ralph Lauren (NYSE:RL) Stock Rating Upgraded by Cfra Research,"Cfra Research upgraded shares of Ralph Lauren (NYSE:RL – Free Report) from a moderate sell rating to a hold rating in a report issued on Monday,Zacks.com reports. RL has been the topic of several other research reports. Wall Street Zen lowered Ralph Lauren fr…",https://www.etfdailynews.com/2025/08/14/ralph-lauren-nyserl-stock-rating-upgraded-by-cfra-research/,0.6124
2025-08-14T05:25:46Z,The Indian Express,Supreme Court cancels actor Darshan’s bail in Renukaswamy murder case,"Darshan was arrested on June 11, 2024, for his alleged role in the June 9 murder of a fan, Renukaswamy, who allegedly stalked and abused his close friend and actor Pavitra Gowda on social media",https://indianexpress.com/article/india/supreme-court-cancels-actor-darshan-bail-renukaswamy-murder-case-10188282/,-0.8625
2025-08-14T05:25:21Z,Techpowerup.com,"Intel ""Lunar Lake"" Updated PL2 Setting Can Yield Up to 30% Higher Gaming Performance","We recently published our MSI Claw 8 AI+ A2VM review, which is the only handheld gaming device to utilize the Intel Core Ultra 7 258V ""Lunar Lake"" CPU, featuring four E-cores and four P-cores, paired with the Intel Arc 140V Xe2 GPU. During our testing, we ran…",https://www.techpowerup.com/339904/intel-lunar-lake-updated-pl2-setting-can-yield-up-to-30-higher-gaming-performance,0.0
2025-08-14T05:25:11Z,ETF Daily News,JetBlue Airways Q3 EPS Estimate Decreased by Zacks Research,"JetBlue Airways Corporation (NASDAQ:JBLU – Free Report) – Research analysts at Zacks Research dropped their Q3 2025 earnings estimates for shares of JetBlue Airways in a research report issued on Monday, August 11th. Zacks Research analyst M. Basu now anticip…",https://www.etfdailynews.com/2025/08/14/jetblue-airways-q3-eps-estimate-decreased-by-zacks-research/,0.6705
2025-08-14T05:19:07Z,ETF Daily News,Delta Air Lines Sees Unusually Large Options Volume (NYSE:DAL),"Delta Air Lines, Inc. (NYSE:DAL – Get Free Report) was the recipient of unusually large options trading on Wednesday. Investors acquired 80,015 call options on the company. Thisisanincreaseofapproximately35% compared to the typical daily volume of 59,086 call…",https://www.etfdailynews.com/2025/08/14/delta-air-lines-sees-unusually-large-options-volume-nysedal/,0.5106
2025-08-14T05:19:05Z,ETF Daily News,Stock Traders Purchase Large Volume of Call Options on Ardelyx (NASDAQ:ARDX),"Ardelyx, Inc. (NASDAQ:ARDX – Get Free Report) was the recipient of unusually large options trading activity on Tuesday. Stock investors bought 10,249 call options on the company. Thisisanincreaseofapproximately439% compared to the typical daily volume of 1,90…",https://www.etfdailynews.com/2025/08/14/stock-traders-purchase-large-volume-of-call-options-on-ardelyx-nasdaqardx/,0.5106
2025-08-14T05:19:00Z,The Star Online,"Bullying prosecutions urged in Zara Qairina’s case, say mother’s legal team",KOTA KINABALU: The Attorney General's Chambers has been urged to prosecute individuals for bullying in line with possibilities identified in police investigations into the death of Zara Qairina Mahathir. Read full story,https://www.thestar.com.my/news/nation/2025/08/14/bullying-prosecutions-urged-in-zara-qairinas-case-say-mothers-legal-team,-0.9313
2025-08-14T05:13:54Z,The Times of India,"Vietnam makes first US oil purchase in 2025, sources say","Binh Son Refining and Petrochemical, Vietnam, will buy one million barrels of U.S. crude for November. This marks Vietnam's first U.S. oil purchase in 2025. The light-sweet crude is from Mercuria. Vietnam committed to buying more U.S. crude in deals with Wash…",https://economictimes.indiatimes.com/news/international/world-news/vietnam-makes-first-us-oil-purchase-in-2025-sources-say/articleshow/123295865.cms,-0.875
2025-08-14T05:08:52Z,ETF Daily News,Wedbush Reduces Earnings Estimates for Smith Douglas Homes,"Smith Douglas Homes Corp. (NYSE:SDHC – Free Report) – Wedbush decreased their Q3 2025 earnings per share (EPS) estimates for Smith Douglas Homes in a report released on Monday, August 11th. Wedbush analyst J. Mccanless now forecasts that the company will earn…",https://www.etfdailynews.com/2025/08/14/wedbush-reduces-earnings-estimates-for-smith-douglas-homes/,0.6705
2025-08-14T05:08:51Z,ETF Daily News,Q3 EPS Estimates for E.W. Scripps Cut by Noble Financial,"E.W. Scripps Company (The) (NASDAQ:SSP – Free Report) – Equities research analysts at Noble Financial dropped their Q3 2025 earnings estimates for E.W. Scripps in a report issued on Monday, August 11th. Noble Financial analyst M. Kupinski now anticipates that…",https://www.etfdailynews.com/2025/08/14/q3-eps-estimates-for-e-w-scripps-cut-by-noble-financial/,0.8807
2025-08-14T05:00:00Z,GlobeNewswire,Zealand Pharma Announces Financial Results for the First Half of 2025,Company announcement – No. 18 / 2025  Zealand Pharma Announces Financial Results for the First Half of 2025Petrelintide collaboration with Roche off to...,https://www.globenewswire.com/news-release/2025/08/14/3133149/0/en/Zealand-Pharma-Announces-Financial-Results-for-the-First-Half-of-2025.html,-0.296
2025-08-14T05:00:00Z,GlobeNewswire,Fingerprint Cards AB (publ) publishes interim report for January – June 2025,"The report is available as an online version and as a PDF.  ""I am pleased to see our transformation strategy translating into results, with strong core......",https://www.globenewswire.com/news-release/2025/08/14/3133147/0/en/Fingerprint-Cards-AB-publ-publishes-interim-report-for-January-June-2025.html,0.7351
2025-08-14T04:55:15Z,Thehillstimes.in,Mizoram CM Links Drug Inflow to Golden Triangle Proximity,"HT DIGITAL AIZAWL, AUGUST 14: Mizoram Chief Minister Lalduhoma on Wednesday attributed the state’s geographical proximity to the “Golden Triangle” — an infamous drugs-producing hub of Southeast Asia — as a major factor for the consistent flow of narcotics int…",https://thehillstimes.in/northeast/mizoram-cm-links-drug-inflow-to-golden-triangle-proximity,0.0
2025-08-14T04:55:00Z,Syllad.com,"Independence Day: CM Conrad K Sangma to hoist national flag in Shillong, Kyrmen Shylla in Jowai","The Government of Meghalaya has released the list of dignitaries who will hoist the National Flag and take the salute at the ceremonial parade on August 15, 2025, across the state. In Shillong, Chief Minister Conrad K Sangma will lead the celebrations, while …",https://www.syllad.com/independence-day-cm-conrad-k-sangma-to-hoist-national-flag-in-shillong-kyrmen-shylla-in-jowai/,0.1531
2025-08-14T04:40:18Z,Ozbargain.com.au,Boost Mobile $300 SIM Pack with 300GB 365 Days for $244 Delivered @ Cellpoint,"Boost Mobile $300 Prepaid Sim Starter Pack with 300 GB Data for $244 - Delivered @ Cellpoint Full Coverage of the Telstra Prepaid Mobile Network Sim activation expiry date is March 19, …",https://www.ozbargain.com.au/node/919595,0.6597
2025-08-14T04:30:49Z,The-independent.com,Priscilla Presley’s ex-business partners accused her of pulling Lisa Marie’s life-support to get control of family name,"Priscilla ‘ultimately wanted to control’ Graceland, her former business partners allege",https://www.the-independent.com/arts-entertainment/music/news/priscilla-presley-lawsuit-lisa-marie-death-cause-b2807356.html,-0.296
2025-08-14T04:30:00Z,The Irish Times,"Some €3.3bn in mergers and acquisitions completed in Irish market in second quarter this year, data shows","US tariff concerns weighed somewhat on activity levels, according to Davy report",https://www.irishtimes.com/business/2025/08/14/irish-ma-activity-rises-in-the-first-half-of-year/,0.0
2025-08-14T04:30:00Z,Independent.ie,Irish renewable energy company secures funding for wind farms across Ireland and UK,"Galetech Operations, a Cavan-based provider of technical maintenance support to the renewable energy industry, has won three contracts to service wind farms in Ireland and the UK.",https://www.independent.ie/business/technology/irish-renewable-energy-company-secures-funding-for-wind-farms-across-ireland-and-uk/a1968381153.html,0.8979
2025-08-14T04:25:48Z,Ocworkbench.com,7-11 once operated as a MVNO in Singapore under M1,"For those who may not know, long before Circles.Life entered the scene, there was an MVNO called 7Connect by 7-Eleven. It offered M1 prepaid SIM cards under the 7Connect brand, with features identical to the M Card. Over time, the service quietly disappeared …",https://en.ocworkbench.com/7-11-once-operated-a-mvno-in-singapore-under-m1/,-0.2263
2025-08-14T04:23:12Z,New Atlas,"DARPA christens dagger-Like, crewless ocean warship","DARPA's autonomous Unmanned Surface Vessel (USV), the USX-1 Defiant, took a major step toward operational status as a bottle of spirits was broken over its bow at the Everett Ship Repair in Everett, Washington on August 11, 2025.Continue ReadingCategory: Mili…",https://newatlas.com/military/darpa-defiant-crewless-ocean-warship/,-0.6908
