publishedAt,source,title,description,url,vader_compound
2025-08-14T05:13:54Z,The Times of India,"Vietnam makes first US oil purchase in 2025, sources say","Binh Son Refining and Petrochemical, Vietnam, will buy one million barrels of U.S. crude for November. This marks Vietnam's first U.S. oil purchase in 2025. The light-sweet crude is from Mercuria. Vietnam committed to buying more U.S. crude in deals with Wash…",https://economictimes.indiatimes.com/news/international/world-news/vietnam-makes-first-us-oil-purchase-in-2025-sources-say/articleshow/123295865.cms,-0.875
2025-08-14T05:13:14Z,Biztoc.com,NY attorney general sues Zelle's parent company after Trump administration drops similar case,"NY attorney general sues Zelle’s parent company after Trump administration drops similar case
NEW YORK (AP) — New York’s attorney general on Wednesday sued the parent company of the Zelle payment platform, months after the federal Consumer Financial Protectio…",https://biztoc.com/x/4e4b7ba5a3cdd043,0.0
2025-08-14T05:12:24Z,Slashdot.org,NY attorney general sues Zelle's parent company after Trump administration drops similar case - AP News,"NY attorney general sues Zelle's parent company after Trump administration drops similar caseAP News New York sues Zelle, says security lapses led to $1 billion consumer fraud lossesReuters New York Attorney General James sues Zelle parent company, alleging i…",https://slashdot.org/firehose.pl?op=view&amp;id=178671088,-0.34
2025-08-14T05:03:15Z,ClutchPoints,Former Michigan QB wins starting job at San Diego State,Former Michigan football QB Jayden Denegal wins the San Diego State starting job for upcoming season after transferring through the portal.,https://clutchpoints.com/ncaa-football/michigan-football-news-denegal-starting-job-san-diego-state,0.8126
2025-08-14T05:00:00Z,Newser,Amish Community Reeling After Michigan Crashes Kill 6,"A pickup truck went through a stop sign in rural Michigan Tuesday and crashed into a van carrying members of an Amish community, killing at least six people, authorities said. The afternoon crash occurred in Tuscola County's Gilford Township, 100 miles north …",https://www.newser.com/story/373512/amish-community-reeling-after-michigan-crashes-kill-6.html,-0.9325
2025-08-14T04:57:19Z,ClutchPoints,Why Penn State football will finish worse than first AP Top 25 Poll ranking,"The Penn State football team is a popular pick to win it all after starting No. 2 in the AP Poll, but it's not going to happen.",https://clutchpoints.com/ncaa-football/why-penn-state-football-will-finish-worse-than-first-ap-top-25-poll-ranking,0.2617
2025-08-14T04:57:04Z,Yahoo Entertainment,Yankees 1B Paul Goldschmidt has a right knee sprain and may go on IL,Paul Goldschmidt has a low-grade right knee sprain and the New York Yankees may place the veteran first baseman on the injured list ahead of his return to St. Louis this weekend. The Yankees will evaluate Goldschmidt during their day off and will decide befor…,https://sports.yahoo.com/article/yankees-1b-paul-goldschmidt-knee-045704886.html,-0.4019
2025-08-14T04:55:15Z,Thehillstimes.in,Mizoram CM Links Drug Inflow to Golden Triangle Proximity,"HT DIGITAL AIZAWL, AUGUST 14: Mizoram Chief Minister Lalduhoma on Wednesday attributed the state’s geographical proximity to the “Golden Triangle” — an infamous drugs-producing hub of Southeast Asia — as a major factor for the consistent flow of narcotics int…",https://thehillstimes.in/northeast/mizoram-cm-links-drug-inflow-to-golden-triangle-proximity,0.0
2025-08-14T04:49:39Z,Financial Post,Takeaways from AP’s investigation into online school for incarcerated teens,"GAINESVILLE, Fla. (AP) — No matter the offense, states must educate students in juvenile detention. It’s a complicated challenge, no doubt — and success stories are scarce. In Florida, where more than 1,000 students are in long-term confinement, the state las…",https://financialpost.com/pmn/takeaways-from-aps-investigation-into-online-school-for-incarcerated-teens,-0.6486
2025-08-14T04:42:27Z,Yahoo Entertainment,Takeaways from AP's investigation into online school for incarcerated teens,"No matter the offense, states must educate students in juvenile detention.  In Florida, where more than 1,000 students are in long-term confinement, the...",https://www.yahoo.com/news/articles/takeaways-aps-investigation-online-school-044227034.html,-0.6808
